"STATION","DATE","PRCP","TAVG"
"SPE00119792","1969","44.94","54.6"
"SPE00119792","1970","44.16","54.7"
"SPE00119792","1971","54.78","54.5"
"SPE00119792","1972","44.40","53.5"
"SPE00119792","1973","41.49","54.4"
"SPE00119792","1974","41.10","54.4"
"SPE00119792","1975","47.43","55.0"
"SPE00119792","1976","38.24","54.9"
"SPE00119792","1977","51.29","55.5"
"SPE00119792","1978","53.57","55.4"
"SPE00119792","1979","64.79","55.4"
"SPE00119792","1980","50.69","55.0"
"SPE00119792","1981","36.05","55.7"
"SPE00119792","1982","39.19","56.2"
"SPE00119792","1983","41.70","55.8"
"SPE00119792","1984","56.28","54.7"
"SPE00119792","1985","42.55","55.5"
"SPE00119792","1986","53.27","54.8"
"SPE00119792","1987","45.24","56.2"
"SPE00119792","1988","33.87","56.3"
"SPE00119792","1989","33.41","57.3"
"SPE00119792","1990","40.11","57.0"
"SPE00119792","1991","38.94","55.2"
"SPE00119792","1992","48.35","55.5"
"SPE00119792","1993","42.78","55.7"
"SPE00119792","1994","43.13","56.7"
"SPE00119792","1995","43.60","57.2"
"SPE00119792","1996","48.11","56.1"
"SPE00119792","1997","45.97","58.1"
"SPE00119792","1998","36.90","57.0"
"SPE00119792","1999","43.81","56.6"
"SPE00119792","2000",,
"SPE00119792","2001","37.94","56.7"
"SPE00119792","2002","39.32","57.1"
"SPE00119792","2003","39.98","57.8"
"SPE00119792","2004","33.29","56.2"
"SPE00119792","2005","39.21","56.1"
"SPE00119792","2006","32.75","57.2"
"SPE00119792","2007","36.36","55.8"
"SPE00119792","2008","48.06","55.9"
"SPE00119792","2009","39.56","55.7"
"SPE00119792","2010","52.78","55.1"
"SPE00119792","2011","37.44","56.8"
"SPE00119792","2012","36.57","55.9"
"SPE00119792","2013","53.82","56.8"
"SPE00119792","2014","44.18","58.3"
"SPE00119792","2015","37.70","58.0"
"SPE00119792","2016","49.69","57.7"
"SPE00119792","2017","37.92","57.3"
"SPE00119792","2018","46.13","57.5"
"SPE00119792","2019","52.17","56.8"
"SPE00119792","2020","49.28","58.0"
"SPE00119792","2021","47.41","56.7"
"SPE00119792","2022","35.26","58.3"
"SPE00119792","2023","40.96",
"SPE00120260","1951","38.26",
"SPE00120260","1952","40.47",
"SPE00120260","1953","30.41",
"SPE00120260","1954","30.21",
"SPE00120260","1955","36.48",
"SPE00120260","1956","28.94",
"SPE00120260","1957","27.70",
"SPE00120260","1976",,
"SPE00120260","1977","46.56",
"SPE00120260","1984",,
"SPE00120260","1985",,
"SPE00120260","1986","39.23","52.2"
"SPE00120260","1987","45.89","53.6"
"SPE00120260","1988","35.70","52.8"
"SPE00120260","1989","39.19","54.6"
"SPE00120260","1990","30.71","54.2"
"SPE00120260","1991","36.11","52.5"
"SPE00120260","1992","35.56","52.3"
"SPE00120260","1993","42.89","52.1"
"SPE00120260","1994","44.93","53.4"
"SPE00120260","1995","45.93","54.5"
"SPE00120260","1996","44.61",
"SPE00120260","1997","43.23","55.1"
"SPE00120260","1998","37.09","53.9"
"SPE00120260","1999","48.56","53.1"
"SPE00120260","2000","52.78","53.3"
"SPE00120260","2001",,
"SPE00120260","2003","43.74","54.2"
"SPE00120260","2004","32.40","53.0"
"SPE00120260","2005","32.45","53.3"
"SPE00120260","2006","45.57","55.1"
"SPE00120260","2007","28.91","53.2"
"SPE00120260","2008","48.12","53.5"
"SPE00120260","2009","47.58","54.1"
"SPE00120260","2010","51.33","53.6"
"SPE00120260","2011","35.56","55.4"
"SPE00120260","2012","30.78","53.8"
"SPE00120260","2013","51.98","54.0"
"SPE00120260","2014","45.23","55.2"
"SPE00120260","2015","29.61","55.5"
"SPE00120260","2016","45.57","54.3"
"SPE00120260","2017","30.96","55.0"
"SPE00120260","2018","48.26","54.4"
"SPE00120260","2019","50.21","54.3"
"SPE00120260","2020","41.59","55.9"
"SPE00120260","2021",,"54.4"
"SPE00120260","2022","36.57",
"SPE00120386","1951","21.49",
"SPE00120386","1952","13.49",
"SPE00120386","1953","9.90",
"SPE00120386","1954","10.43",
"SPE00120386","1955","21.39",
"SPE00120386","1956","13.50",
"SPE00120386","1957","9.33",
"SPE00120386","1958","14.63",
"SPE00120386","1959","18.27",
"SPE00120386","1960","24.24",
"SPE00120386","1961","18.94","54.6"
"SPE00120386","1962","10.72","52.3"
"SPE00120386","1963","16.16","51.9"
"SPE00120386","1964","10.07","53.0"
"SPE00120386","1966","18.68","53.5"
"SPE00120386","1967","11.85","53.0"
"SPE00120386","1968","12.07",
"SPE00120386","1969","16.51",
"SPE00120386","1970","13.04","53.6"
"SPE00120386","1971","13.13","52.4"
"SPE00120386","1972","19.22","51.8"
"SPE00120386","1973","11.39",
"SPE00120386","1974","12.39","51.9"
"SPE00120386","1975","9.06","52.1"
"SPE00120386","1976","14.78","53.3"
"SPE00120386","1977","18.01","52.6"
"SPE00120386","1978","16.65","53.0"
"SPE00120386","1979","14.67","53.3"
"SPE00120386","1980","12.51","53.2"
"SPE00120386","1981","11.74","54.7"
"SPE00120386","1982","10.02","53.9"
"SPE00120386","1983",,
"SPE00120386","1988","15.69","53.5"
"SPE00120143","1985","16.56","64.3"
"SPE00120143","1986","14.21","63.6"
"SPE00120143","1987","25.72","64.5"
"SPE00120143","1988","22.10","64.3"
"SPE00120143","1989","32.70","65.3"
"SPE00120143","1990","11.18","65.2"
"SPE00120143","1991","15.43","63.9"
"SPE00120143","1992","9.62","64.1"
"SPE00120143","1993","19.60","62.7"
"SPE00120143","1994","12.84","64.7"
"SPE00120143","1995","20.70","65.9"
"SPE00120143","1996","41.62","64.7"
"SPE00120143","1997","28.35","65.9"
"SPE00120143","1998","11.88","65.0"
"SPE00120143","1999","16.81","64.2"
"SPE00120143","2000","22.89","64.4"
"SPE00120143","2001","26.74","64.8"
"SPE00120143","2002","22.09","64.6"
"SPE00120143","2003","25.38","65.5"
"SPE00120143","2004","17.22","65.0"
"SPE00120143","2005","11.51","64.3"
"SPE00120143","2006","24.76","65.2"
"SPE00120143","2007","15.61","64.3"
"SPE00120143","2008","19.33","64.7"
"SPE00120143","2009","18.60","65.9"
"SPE00120143","2010","33.64","65.4"
"SPE00120143","2011","19.99","65.9"
"SPE00120143","2012","13.21","65.1"
"SPE00120143","2013","15.91","64.3"
"SPE00120143","2014",,
"SPE00120143","2015","14.42",
"SPE00120143","2016","23.74","65.9"
"SPE00120143","2017","20.96","66.5"
"SPE00120143","2018","25.17","64.4"
"SPE00120143","2019","9.28","65.5"
"SPE00120143","2020","20.75","66.4"
"SPE00120143","2021","9.98","65.8"
"SPE00120143","2022","17.02","67.1"
"SPE00120143","2023",,
"SPW00013025","1958",,
"SPW00013025","1959","16.51","63.2"
"SPW00013025","1960","29.01","63.6"
"SPW00013025","1961","31.57","65.0"
"SPW00013025","1962","32.29","64.1"
"SPW00013025","1963","35.74","63.5"
"SPW00013025","1964","17.81","65.0"
"SPW00013025","1965","20.59","62.2"
