"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES"
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","1969","       167","E","        94","E","         8","E",,,,,"         0","E","         2","E","         0","E","        52","E","         0","E","-2.0","E,0206, ",,,,,"76.2"," ,E,0918, ","30.0","E,0714, ",,,,,,,,,,,"-2.0","E,0206",,,,,,,,,"1141.4"," ,E",,,"12.5","E","16.0","E","9.1","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","1970","       171","E","       101","E","         7","E",,,,,"         0","E","         7","E","         0","E","        45","E","         0","E","-2.4","E,0302, ",,,,,"56.3"," ,E,1009, ","29.6","E,0921, ","0.0","E,1217",,,,,,,,,"-0.6","E,0403","-2.4","E,0302",,,,,,,"1121.7"," ,E",,,"12.6","E","16.0","E","9.2","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","1971","       163","E","       106","E","         9","E",,,,,"         0","E","         8","E","         0","E","        39","E","         0","E","-2.0","E,0104,+",,,,,"55.0"," ,E,1105, ","27.5","E,0905, ","0.0","E,1212",,,,,,,,,"0.0","E,0309",,,,,,,,,"1391.4"," ,E",,,"12.5","E","15.5","E","9.5","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","1972","       178","E","       108","E","         2","E",,,,,"         0","E","         1","E","         0","E","        26","E","         0","E","-0.4","E,1126, ",,,,,"70.3"," ,E,0502, ","25.0","E,0723, ","-0.4","E,1126",,,,,,,,,,,,,,,,,,,"1127.7"," ,E",,,"11.9","E","15.4","E","8.5","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","1973","       148","E","        86","E","         8","E",,,,,"         0","E","         3","E","         0","E","        48","E","         0","E","-0.8","E,1128, ",,,,,"51.2"," ,E,1002, ","28.0","E,0914, ","-0.8","E,1128",,,,,,,,,"0.0","E,0122",,,,,,,,,"1053.8"," ,E",,,"12.4","E","16.1","E","8.8","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","1974","       157","E","       105","E","         3","E",,,,,"         0","E","         2","E","         0","E","        42","E","         0","E","0.0","E,0304,+",,,,,"88.8"," ,E,1021, ","28.6","E,0905, ",,,,,,,,,,,"0.0","E,0304",,,,,,,,,"1043.9"," ,E",,,"12.4","E","16.3","E","8.6","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","1975","       162","E","       105","E","         5","E",,,,,"         0","E","         4","E","         0","E","        62","E","         0","E","-0.3","E,1222, ",,,,,"58.5"," ,E,0914, ","28.0","E,0817, ","0.0","E,1221",,,,,,,,,"0.0","E,0319",,,,,,,,,"1204.7"," ,E",,,"12.8","E","16.3","E","9.3","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","1976","       146","E","        84","E","         8","E",,,,,"         0","E","         2","E","         0","E","        67","E","         0","E","-1.6","E,1230, ",,,,,"59.0"," ,E,1103, ","31.0","E,0628, ","-1.6","E,1230",,,,,,,,,"0.0","E,0217",,,,,,,,,"971.2"," ,E",,,"12.7","E","16.4","E","9.1","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","1977","       164","E","       102","E","        10","E",,,,,"         0","E","         3","E","         0","E","        40","E","         0","E","0.0","E,1230,+",,,,,"47.6"," ,E,0728, ","29.0","E,0911, ","0.0","E,1230",,,,,,,,,"0.0","E,0116",,,,,,,,,"1302.8"," ,E",,,"13.1","E","16.7","E","9.4","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","1978","       172","E","       120","E","        10","E",,,,,"         0","E","         1","E","         0","E","        60","E","         0","E","0.0","E,1220, ",,,,,"40.8"," ,E,0606, ","28.0","E,1007, ","0.0","E,1220",,,,,,,,,,,,,,,,,,,"1360.8"," ,E",,,"13.0","E","16.8","E","9.2","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","1979","       183","E","       126","E","        12","E",,,,,"         0","E","         3","E","         0","E","        54","E","         0","E","-1.0","E,0217, ",,,,,"114.7"," ,E,0711, ","26.4","E,1008, ","0.0","E,1221",,,,,,,,,"0.0","E,0227",,,,,,,,,"1645.7"," ,E",,,"13.0","E","16.6","E","9.4","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","1980","       158","E","       103","E","         9","E",,,,,"         0","E","         8","E","         0","E","        71","E","         0","E","-3.0","E,1209, ",,,,,"64.5"," ,E,0414, ","31.0","E,0603, ","0.0","E,1208","-3.0","E,1209",,,,,,,"0.0","E,0116",,,,,,,,,"1287.5"," ,E",,,"12.8","E","16.5","E","9.1","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","1981","       165","E","        94","E","         2","E",,,,,"         0","E","         4","E","         0","E","        72","E","         0","E","-2.0","E,0225, ",,,,,"35.6"," ,E,0115, ","29.4","E,0920, ",,,,,,,,,,,"0.0","E,0226",,,,,,,,,"915.6"," ,E",,,"13.2","E","17.1","E","9.2","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","1982","       167","E","        87","E","         7","E",,,,,"         0","E","         0","E","         0","E","        65","E","         0","E","0.4","E,0325, ",,,,,"47.3"," ,E,1004, ","31.5","E,0811, ",,,,,,,,,,,,,,,,,,,,,"995.3"," ,E",,,"13.4","E","17.0","E","9.8","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","1983","       153","E","        88","E","         8","E",,,,,"         0","E","        10","E","         0","E","        69","E","         1","E","-2.5","E,0121, ",,,,,"71.7"," ,E,1116, ","33.1","E,0924, ",,,,,,,,,,,"-2.0","E,0217","-2.4","E,0215",,,,,,,"1059.2"," ,E",,,"13.2","E","16.9","E","9.5","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","1984","       185","E","       120","E","        11","E",,,,,"         0","E","         4","E","         0","E","        56","E","         0","E","-1.2","E,0311, ",,,,,"64.6"," ,E,1004, ","28.6","E,0901,+",,,,,,,,,,,"0.0","E,0312",,,,,,,,,"1429.4"," ,E",,,"12.6","E","16.2","E","9.1","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","1985","       156","E","        97","E","         7","E",,,,,"         0","E","        10","E","         0","E","        79","E","         1","E","-3.0","E,0112,+",,,,,"108.7"," ,E,1106, ","32.5","E,0930, ","0.0","E,1230",,,,,,,,,"0.0","E,0116","-3.0","E,0112",,,,,,,"1080.7"," ,E",,,"13.1","E","16.9","E","9.1","E",,
